name,scholarshipType,applicationRequired,description,quantity,preference,faculty,gender,year,disability,indigenous,race,nationality,gpa,amount,gpaBased,medalsPrizes
Angus and Marjorie McPherson Memorial Scholarship*,In-Course,TRUE,A scholarship is awarded to an academically outstanding undergraduate student in the Faculty of Engineering. Preference will be given to mature students who have served in the Canadian Military or whose parent(s) have served in the Canadian Military and who demonstrate volunteer community service. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering. Applicants must complete the online application by May 31.,1,Canadian Military/Community Service,Engineering,N/A,N/A,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Anna Isabelle Allen Undergraduate Scholarship in Social Work*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate students entering, continuing or transferring into the School of Social Work. Preference will be given to students with an interest in child welfare in the Province of British Columbia.",Varies,Child Welfare,Social Work,N/A,N/A,No,No,N/A,N/A,0,Varies,FALSE,FALSE
Anthany Dawson Award*,In-Course,TRUE,"One award is given to a Canadian-born Indigenous undergraduate or graduate student taking courses in a discipline related to justice in any of the following: Social Work, Child and Youth Care, Law, Political Science, Institute of Dispute Resolution, or Indigenous Governance. Students must submit a one-page letter outlining their community or leadership involvement. Undergraduate students may apply via the online application by May 31st. Graduate applications may be obtained from the Faculty of Graduate Studies, Office of the Dean and must be submitted to that office by September 15th. In the case of an undergraduate student, approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Office of Indigenous Academic and Community Engagement (IACE). In the case of a graduate student, approval of the recipient will be made by the Faculty of Graduate Studies Graduate Awards Committee upon the recommendation of IACE.",1,Indigenous,Social Work/Child and Youth Care/Law/Political Science/Dispute Resolution/Indigenous Governance,N/A,N/A,No,Yes,N/A,Canadian,0,Varies,FALSE,FALSE
Antony Legdon Education Award,In-Course,TRUE,"One award of $1,500 is given to an undergraduate or graduate student in the Faculty of Education who focuses on special education studies. Preference will be given to a student with demonstrated financial need. Approval of the recipient will be made by either the Faculty of Graduate Studies Graduate Awards Committee or the Senate Committee on Awards, upon the recommendation of the Faculty of Education. The award is disbursed to an undergraduate or graduate student in alternating years starting in 2020 with an undergraduate student.",1,Financial Need/Special Education,Education,N/A,N/A,No,No,N/A,N/A,0,1500,FALSE,FALSE
Award for Student Refugees,In-Course,TRUE,"One or more awards, between $500 to $2,000 each, are given to undergraduate students with protected person or permanent residency status (under one of the Refugee Application Class categories) who are not currently supported by the World University Service of Canada (WUSC). Applicants must submit a letter from the Manager, International Student Advising that confirms protected person or refugee status. Part-time students (a minimum of 6.0 units) are eligible for this award. WUSC students, in their first year of study, are not eligible as they are supported by other funding.",Varies,Refugee,N/A,N/A,N/A,No,No,N/A,N/A,0,500-2000,FALSE,FALSE
Barbara J. Shenton Scholarship,In-Course,TRUE,"A scholarship of $1,000 is awarded to an academically outstanding undergraduate mature student (23 year of age or older) who is a single parent studying education. Preference will be given to an eligible student with a background in social work or community work. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Education.",1,Single Parent/Social Work/Community Work,Education,N/A,N/A,No,No,N/A,N/A,0,1000,FALSE,FALSE
Barkley Sound Field School Student Award,In-Course,TRUE,"One or more awards of $1,000 each are given to undergraduate students in the Department of Anthropology who have completed at least one course in archaeology in the last academic year, are attending the Barkley Sound Field School and have demonstrated financial need. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Department of Anthropology.",Varies,Financial need,Anthropology,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Baynes Award in Engineering*,In-Course,TRUE,"An award has been made available by G.E. Baynes, Consulting Engineer. The award will be made to an outstanding undergraduate student in Engineering (who is a Canadian citizen) who has demonstrated strong qualities of leadership combined with active participation in sports. As part of the selection process, the Faculty will consult with the Engineering Students' Society. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering. Applicants must complete the online application by May 31.",1,"Canadian citizen, leadership, active in sports",Engineering,Not specified,Not specified,Not specified,Not specified,Not specified,Canadian,Not specified,Varies,FALSE,FALSE
BC Paraplegic Association/Rotary Club of Victoria Scholarship*,In-Course,TRUE,One or more scholarships will be awarded to academically outstanding students with a physical disability with permanent mobility impairments.,Varies,Physical disability with permanent mobility impairments,Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Beier Memorial Award*,In-Course,TRUE,One or more awards are given to undergraduate students entering second year in the Faculty of Engineering and Computer Science who have demonstrated financial need. Students with a GPA of 4.0 and above are eligible. Preference will be given to students raised by a single parent.,Varies,"Financial need, raised by single parent",Engineering and Computer Science,Not specified,2,Not specified,Not specified,Not specified,Not specified,4,Varies,FALSE,FALSE
Betty Anne Montgomery Memorial Award,In-Course,TRUE,"One or more awards of at least $1,000 each are given to entering, transferring or continuing undergraduate students with a visual impairment and demonstrated financial need, with a preference for a mature student.",Varies,"Visual impairment, financial need, mature student",Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Betty Jamie Chung Scholarship in Anthropology*,In-Course,TRUE,One or more scholarships will be awarded to academically outstanding undergraduate students in the Department of Anthropology. Preference will be given to students demonstrating financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Anthropology.,Varies,Financial need,Anthropology,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Betty Jamie Chung Scholarship in Psychology*,In-Course,TRUE,One or more scholarships will be awarded to academically outstanding undergraduate students in the Department of Psychology. Preference will be given to students demonstrating financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Psychology.,Varies,Financial need,Psychology,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Bit Quill Technologies Scholarship for Women in Computer Science and Software Engineering*,In-Course,TRUE,"Three scholarships, of at least $1,000 each, are awarded to undergraduate women students who are entering second, third or fourth year in the Bachelor of Science Major or Honours program in Computer Science or the Bachelor of Software Engineering program. Applications for the scholarship should reference volunteer service in the community and/or demonstrated leadership in or outside of the classroom. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering. Applicants must complete the online application by May 31.",3,"Women, volunteer service, leadership",Computer Science/Software Engineering,Woman,02/03/2004,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
BMO Alliance for Women in Business Award,In-Course,TRUE,"One award of $1,000 is given to an undergraduate student who identifies as a woman, who is continuing in the Bachelor of Commerce program at the Peter B. Gustavson School of Business and who has paid or volunteer experience in 'lifting the women up' in her community. This could include, but not be limited to: work at transition houses, friendship centres or events focused on women's health or economic status. Applicants must submit a statement (maximum 300 words) describing their paid or volunteer work. Preference is for an Indigenous student. Graduating and part-time students (registered in a minimum of 6.0 units for credit in two terms) are eligible for this award. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.",1,"Woman, volunteer experience helping women, Indigenous",Business,Woman,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Bob Worth Award in Economics*,In-Course,TRUE,"An award of at least $2,500 is given to an undergraduate student entering third year in the Department of Economics who has: a) demonstrated financial need;b) successfully completed COM 240;c) a strong interest in pursuing a career in business; andd) a minimum GPA of 5.5 The award may be renewed for the recipient's fourth year of studies. To be automatically renewed a student must have completed a total of 12 or more academic units in two terms of study between May and April in the previous academic year and maintained a grade point average of 5.5/9.00 or higher on their best 12 units. A student whose grade point average falls below 5.5/9.00 may file a written appeal with the Senate Committee on Awards to seek special consideration for the renewal of the award.Students registered in co-op or a work experience work-term will automatically be renewed when they next complete 12 or more academic units in two terms, provided they have a grade point average of 5.5/9.00 or higher in the two terms. Any student who takes neither a co-op, work experience/work-term, nor academic units for more than one term may forfeit the award.",Varies,Financial Need,Economics,N/A,3rd,No,No,N/A,N/A,5.5,2500,FALSE,FALSE
Bonnie and Ken Putt Award*,In-Course,TRUE,"One or more awards of $2,000 each are given to transferring undergraduate women students entering second or third year or continuing undergraduate women students in any year in an Engineering degree program in the Faculty of Engineering and Computer Science. Students must have demonstrated leadership in an educational or community setting. Preference will be given to students who are the first-generation in their immediate family to attend post-secondary. Immediate family is defined as parents or grandparents.Applicants must submit:• a cover letter (maximum 500 words) describing their leadership skills in an educational or community setting,• a letter of reference from someone (who is not related to the applicant) who can attest to the leadership activity.Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering and Computer Science.",Varies,Women,Engineering and Computer Science,Female,2nd/3rd,No,No,N/A,N/A,N/A,2000,FALSE,FALSE
Campus Dental Centre Award,In-Course,TRUE,One or more awards are given to single parent undergraduate students in the Faculty of Social Sciences with demonstrated financial need. Preference will be given to students who intend to pursue a career in health care.,Varies,Single Parent,Social Sciences,N/A,N/A,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Canadian Society of Senior Engineers/Engineering Institute of Canada,In-Course,TRUE,"One or more awards of at least $1,000 each are given to undergraduate students, entering their second or third academic year in any accredited undergraduate engineering program (registered in 2A or higher) who: a) are Canadian citizens or permanent residents b) have graduated from a high school on Vancouver Island c) have completed the previous year with at least a 6.0 or equivalent grade point average. Preference will be given to students in the following order: a) demonstrated financial need b) demonstrated participation in campus activities or volunteer and community service Students must also submit a brief biography including the above criteria, as well as hobbies, career aspirations, and name(s)/contact information of relevant references. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering.",Varies,1. Financial Need2. Campus/Community Involvement,Engineering,N/A,2nd/3rd,No,No,N/A,Canadian,6,1000,FALSE,FALSE
"Candis Graham Writing Scholarship, Lambda Foundation Fund*",In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate and/or graduate students in the Department of Writing who achieve excellence in writing that demonstrates originality, accessibility, creativity, or impact. Preference will be given to students with involvement in, or who are supportive of any lesbian, gay, bisexual, transgender, two-spirit, intersex, asexual, queer, or questioning communities. In the case of a graduate award, approval will be made by the Faculty of Graduate Studies Graduate Awards Committee upon the recommendation of the Department of Writing. In the case of an undergraduate award, approval will be made by the Senate Committee on Awards upon the recommendation of the Department of Writing.",Varies,LGBTQ2S+,Writing,N/A,N/A,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Carol Ann Mitchell Undergraduate Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding transferring or continuing undergraduate students who have demonstrated financial need. Preference shall be given to mature students.,Varies,1. Financial Need2. Mature Students,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Catherine O. Cameron Memorial Scholarship*,In-Course,TRUE,"A scholarship is awarded by the Canadian Federation of University Women Victoria to an academically outstanding undergraduate woman student entering second, third or fourth year in the Department of Geography. Preference will be given to students with financial need. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of Geography.",1,1. Women2. Financial Need,Geography,Female,2nd/3rd/4th,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
CFUW Victoria Doreen Sutherland Indigenous Scholarship in Faculty of Human and Social Development*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate Indigenous women students in the Faculty of Human and Social Development.,Varies,Indigenous Women,Human and Social Development,Female,N/A,No,Yes,N/A,N/A,N/A,Varies,FALSE,FALSE
CFUW Victoria Doreen Sutherland Scholarship in the School of EPHE*,In-Course,TRUE,"Two or more scholarships are awarded to academically outstanding undergraduate women students in the School of Exercise Science, Physical & Health Education, with preference given to an Indigenous student for one of the awards. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Exercise Science, Physical & Health Education within the Faculty of Education.",2,1. Women2. Indigenous,"Exercise Science, Physical & Health Education",Female,N/A,No,Indigenous for 1 award,N/A,N/A,N/A,Varies,FALSE,FALSE
"Chair in Transgender Studies Undergraduate Research Scholarship for Trans, Non-Binary and Two-Spirit Students",In-Course,TRUE,"Two or more scholarships of $500 each are awarded to academically outstanding trans, non-binary or Two-Spirit undergraduate students entering third or fourth year who are pursing a degree in any field. Priority will be given to students whose studies are trans-related. Further preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Gender Studies.",2,1. Trans/Non-Binary/Two-Spirit2. Financial Need,Any,Trans/Non-Binary/Two-Spirit,3rd/4th,No,Two-Spirit,N/A,N/A,N/A,500,FALSE,FALSE
Chaney Award*,In-Course,TRUE,One or more awards are given to continuing or transferring undergraduate or graduate students in the Department of Chemistry. Preference is given to students with demonstrated financial need.,Varies,Financial Need,Chemistry,N/A,N/A,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Churchill Foundation Vancouver Island Barry Gough Scholarship in English*,In-Course,TRUE,"One or more scholarships, of at least $1,000 each, are awarded to academically outstanding undergraduate students who are majoring in English, entering third or fourth year and who demonstrate leadership, innovation and determination in their academics and community engagement. Applicants must submit a brief personal statement (maximum 500 words) that outlines the above criteria. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Department of English",Varies,"Leadership, Innovation, Determination",English,N/A,3rd/4th,No,No,N/A,N/A,N/A,1000,FALSE,FALSE
Chris Lalonde Indigenous Wellbeing Award*,In-Course,TRUE,"One or more awards are given to Indigenous undergraduate students continuing in the Faculty of Social Sciences, with preference for students majoring in Psychology. Applicants must submit a statement (maximum 250 words) describing why they chose a major in the Faculty of Social Sciences.Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Social Sciences.",Varies,1. Indigenous2. Psychology Majors,Social Sciences,N/A,N/A,No,Yes,N/A,N/A,N/A,Varies,FALSE,FALSE
Cindy Player Award on Equity and Human Rights,In-Course,TRUE,"One or more awards are given in alternate years to undergraduate students continuing into third or fourth year in the Faculty of Social Sciences or the School of Social Work who:have demonstrated financial need, and are pursuing studies related to the subject of equity and human rights, and are members of groups with historical and/or current barriers to equity, including, but not limited to:First Nations, Métis and Inuit peoples and all other Indigenous peoples; members of groups that commonly experience discrimination due to race, ancestry, colour, religion and/or spiritual beliefs or place of origin; persons with visible and/or invisible (physical and/or mental) disabilities; persons who identify as women; and persons of marginalized sexual orientations, gender identities and gender expressions.Applicants must submit a letter outlining how their studies have or will relate to the subject of equity and human rights. Preference is for students who have worked or volunteered with a community service organization (such as transition houses, crisis centres or friendship centres). Applicants wanting to demonstrate they have worked or volunteered with a community service organization must include a statement (maximum 300 words) describing their paid or volunteer work. The award is given on a rotating basis, beginning with Faculty of Social Sciences. Part-time students (registered in a minimum of 6.0 units for credit in two terms) are eligible for this Award. Approval of the recipients is made by the Senate Committee on Awards upon the recommendation of either the Faculty of Social Sciences or the School of Social Work.",Varies,1. Financial Need2. Equity/Human Rights Studies3. Barriers to Equity,"Social Sciences, Social Work",N/A,3rd/4th,Yes,Yes,Yes,N/A,N/A,Varies,FALSE,FALSE
Columbia Coast Mission Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to students in second, third, fourth or fifth year of a program leading to a first undergraduate degree. Preference will be given to students who have received all or part of elementary or secondary education while residing in the area served by the Columbia Coast Mission. This area includes School Districts 46 (Sunshine Coast), 47 (Powell River), 71 (Comox Valley), 72 (Campbell River), 85 (Vancouver Island North), and Lasqueti Island in School District 69 (Qualicum).",Varies,Columbia Coast Mission Area,N/A,N/A,2nd/3rd/4th/5th,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Constance E. Hoyte Award in Music Education*,In-Course,TRUE,One or more awards are given to undergraduate Music Education students in the School of Music. Preference is for students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,Financial Need,Music Education,N/A,N/A,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Cora Arenas and Carol Artemiw Award for Second Year Women in Engineering and Computer Science,In-Course,TRUE,"One or more awards of $2,000 each are given to women undergraduate students entering their second year in the Faculty of Engineering and Computer Science. Applicants must submit a cover letter (max. 400 words) reflecting on their first year in UVic Engineering, in response to each of these questions:What did you experience in your first year that you would like to continue experiencing next year? What would you like to experience next year that you did not get to experience this year? What part of the first year UVic Engineering experience do you think could be improved?Preference is for women students who are members of groups with historical and/or current barriers to equity in the Faculty of Engineering and Computer Science. Approval of the recipients will be made by the Senate Committee on Awards based upon the recommendation of the Faculty of Engineering and Computer Science.",Varies,1. Women2. Barriers to Equity,Engineering and Computer Science,Female,2nd,No,No,N/A,N/A,N/A,2000,FALSE,FALSE
CSSE/EIC Vancouver Island Award,In-Course,TRUE,"One or more awards of at least $2,000 each are given to undergraduate students, entering their second or third academic year in any accredited undergraduate engineering program (registered in 2A or higher) who:a) are Canadian citizens or permanent residentsb) have graduated from a high school on Vancouver Islandc) have completed the previous year with at least a 6.0 or equivalent grade point average.Preference will be given to students in the following order:a) demonstrated financial needb) demonstrated participation in campus activities or volunteer and community serviceStudents must also submit a brief biography including the above criteria, as well as hobbies, career aspirations, and name(s)/contact information of relevant references. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering and Computer Science.",Varies,1. Financial Need2. Campus/Community Involvement,Engineering,N/A,2nd/3rd,No,No,N/A,Canadian,6,2000,FALSE,FALSE
Dave Ian Dunnet Music Education Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students entering their third or fourth year in the Bachelor of Music (Music Education) program who demonstrate a strong commitment to achieving excellence in teaching instrumental and choral music in the schools. Applicants must submit a letter (maximum 500 words) describing what inspired them to become a music educator. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,Music Education,Music,N/A,3rd/4th,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
David Stanonik Pacific Northern Gas Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students entering third or fourth year in the Faculty of Engineering who have shown leadership qualities. Preference will be given to a student from Northern British Columbia in the areas served by Pacific Northern Gas. These scholarships are made in memory of David Stanonik who was a 1997 graduate of the Department of Mechanical Engineering. Applicants must complete the online application by May 31. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering.,Varies,1. Leadership2. Northern BC,Engineering,N/A,3rd/4th,No,No,N/A,N/A,N/A,Varies,FALSE,FALSE
Donald and Evelyn MacLean Scholarship,In-Course,TRUE,"An annual scholarship of $2,500 is awarded to an undergraduate woman student raising a child (or children) as a single parent.",1,Single parent,Not specified,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2500,FALSE,FALSE
Donna Trenholm Staff Award in Humanities*,In-Course,TRUE,"One or more awards are given to undergraduate or graduate students who are members of CUPE 951 at the University of Victoria who hold a regular appointment and are taking one or more courses offered by the Faculty of Humanities. Students will be chosen based on the highest cumulative grade point average on all courses taken at the University of Victoria. Undergraduate applicants must complete the online application by May 31st. In the case of graduate students, applications must be submitted to the Faculty of Graduate Studies by June 15th. Approval of the graduate recipients will be made by the Graduate Awards Committee upon the recommendation of the Faculty of Humanities.",Varies,CUPE 951 members,Humanities,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Doreen Moser Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding continuing undergraduate women students who have demonstrated financial need.,Varies,Financial need,Not specified,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
"Doreen Sutherland Undergraduate Award for Permanent Residents, Protected Persons and Refugee Women in HEIS*",In-Course,TRUE,"One or more awards are given to entering or continuing women undergraduate students in the School of Health Information Science. Preference will be given in the following order:1. students who have protected person or refugee status, with preference for students who have financial need2. students who have Canadian permanent resident status, with preference for students who have financial need3. all other students, with preference for students who have financial need Applicants meeting preference #1 must submit a letter from the Manager, International Student Advising that confirms protected person or refugee status.",Varies,"Protected person/refugee status, permanent resident, financial need",Health Information Science,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Dr. Charlotte Loppie Award*,In-Course,TRUE,"One or more awards are given to Indigenous undergraduate students in the School of Public Health and Social Policy who demonstrate financial need, with preference given to mature (23 years or older) Indigenous women. Part-time students (registered in a minimum of 6.0 units for credit in two terms) are eligible. Approval of the recipient(s) is made by the Senate Committee on Awards upon the recommendation of the School of Public Health and Social Policy.",Varies,"Financial need, mature students",Public Health and Social Policy,Woman,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Dr. Douglas Earl Alcorn Scholarship*,In-Course,TRUE,A scholarship is awarded to an academically outstanding 4th year undergraduate student who is pursuing a degree in Psychology and who demonstrates an interest in abnormal psychology. Preference will be given to a student considering a medical career. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of Psychology.,1,"Interest in abnormal psychology, considering medical career",Psychology,Not specified,4,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Dr. Frank Parnell Memorial Award,In-Course,TRUE,"Two awards of at least $1,000 each are given to Canadian-born Indigenous undergraduate students entering second or third year. Preference will be given to students who were born in and/or graduated from a high school (or equivalent e.g. home school, distance education etc.) in Northern British Columbia (north of latitude 53.92). Further preference will be given to students in the Bachelor of Commerce program at the Peter B. Gustavson School of Business. Students with a GPA of 6.0/9.0 and above are eligible. Part-time students (minimum 3.0 units per term) are eligible.",2,"Canadian-born Indigenous, from Northern BC, Bachelor of Commerce",Business,Not specified,02-Mar,Not specified,Indigenous,Not specified,Canadian,6,1000,FALSE,FALSE
Dr. Lorene Kennedy Environmental Studies Undergraduate Award*,In-Course,TRUE,One or more awards are given to undergraduate students majoring in the School of Environmental Studies with demonstrated financial need. Recipients will be approved by the Senate Committee on Awards upon the recommendation of the School of Environmental Studies.,Varies,Financial need,Environmental Studies,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Dr. Peter Montgomery Undergraduate Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students entering or continuing at the University of Victoria with demonstrated financial need. Preference will be given to Roman Catholic students.,Varies,"Financial need, Roman Catholic",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Dr. Valentine Guy Criswick Scholarship*,In-Course,TRUE,One or more scholarships are awarded to outstanding students who are proceeding to premedical studies at the year 3 or 4 level at the University of Victoria. Applicants must provide details of their plans for future medical school attendance on the application form.,Varies,Premedical studies,Not specified,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
